open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1577121840000,7464.23554644,7464.23554644,7427.12362634,7429.60193183,0,1577121899999,0,60,0,0,0
1577121900000,7426.48738638,7444.19645979,7426.48738638,7442.99849694,0,1577121959999,0,60,0,0,0
1577121960000,7443.87986057,7455.16045455,7442.07486057,7455.16045455,0,1577122019999,0,60,0,0,0
1577122020000,7454.37681818,7462.13681818,7448.95494999,7450.53042876,0,1577122079999,0,60,0,0,0
1577122080000,7449.55179239,7451.57067273,7443.73679239,7451.57067273,0,1577122139999,0,60,0,0,0
1577122140000,7454.45930909,7456.75340000,7444.67137630,7448.25955812,0,1577122199999,0,60,0,0,0
1577122200000,7449.20183084,7455.90340455,7448.14158636,7453.53658637,0,1577122259999,0,60,0,0,0
1577122260000,7454.05976819,7456.08476819,7444.12476819,7445.66795001,0,1577122319999,0,60,0,0,0
1577122320000,7446.50613182,7450.28067727,7442.47295000,7442.90476818,0,1577122379999,0,60,0,0,0
1577122380000,7441.89204091,7441.93295000,7433.25795000,7438.75567727,0,1577122439999,0,60,0,0,0
1577122440000,7440.31976818,7444.45658636,7440.24249545,7444.45658636,0,1577122499999,0,60,0,0,0
1577122500000,7445.93522273,7451.11340455,7442.53567727,7443.09476818,0,1577122559999,0,60,0,0,0
1577122560000,7443.08249545,7449.40795000,7441.66431364,7448.30136465,0,1577122619999,0,60,0,0,0
1577122620000,7448.05863738,7449.04681920,7447.75909192,7448.64863738,0,1577122679999,0,60,0,0,0
1577122680000,7448.90772829,7448.90772829,7435.31374773,7438.26783863,0,1577122739999,0,60,0,0,0
1577122740000,7437.57238409,7442.88965682,7435.17602045,7435.64738409,0,1577122799999,0,60,0,0,0
1577122800000,7435.07602045,7435.28374772,7423.25056591,7426.95272727,0,1577122859999,0,60,0,0,0
1577122860000,7427.32136364,7430.34409091,7384.95291955,7384.95291955,0,1577122919999,0,60,0,0,0
1577122920000,7386.44337409,7397.47119479,7367.75119479,7379.08603591,0,1577122979999,0,60,0,0,0
1577122980000,7379.96194500,7390.30681818,7372.10272727,7386.93500000,0,1577123039999,0,60,0,0,0
1577123040000,7387.57409091,7393.71144518,7384.53417245,7388.08008154,0,1577123099999,0,60,0,0,0
1577123100000,7388.15099063,7391.76187657,7380.35053609,7388.64324020,0,1577123159999,0,60,0,0,0
1577123160000,7388.59051293,7397.38005839,7387.77869475,7397.38005839,0,1577123219999,0,60,0,0,0
1577123220000,7397.98414929,7406.40374640,7397.92960384,7398.36454545,0,1577123279999,0,60,0,0,0
1577123280000,7396.92181818,7404.49374722,7396.69000000,7404.49374722,0,1577123339999,0,60,0,0,0
1577123340000,7404.10011085,7408.07329267,7397.86238358,7398.06511085,0,1577123399999,0,60,0,0,0
1577123400000,7398.04056540,7400.29647449,7397.57147449,7399.59738358,0,1577123459999,0,60,0,0,0
1577123460000,7399.93556540,7404.65283813,7399.93556540,7402.26374722,0,1577123519999,0,60,0,0,0
1577123520000,7401.71420176,7411.18659055,7401.71420176,7410.16659055,0,1577123579999,0,60,0,0,0
1577123580000,7411.38840873,7412.10326826,7408.24290273,7409.13699364,0,1577123639999,0,60,0,0,0
1577123640000,7408.95608455,7409.69108455,7397.21894317,7397.41894317,0,1577123699999,0,60,0,0,0
1577123700000,7398.90076135,7404.72167044,7398.78167044,7400.55212499,0,1577123759999,0,60,0,0,0
1577123760000,7400.24439771,7405.54848862,7400.24439771,7402.52939771,0,1577123819999,0,60,0,0,0
1577123820000,7402.62485226,7405.76303408,7402.28576135,7403.28030680,0,1577123879999,0,60,0,0,0
1577123880000,7402.95712499,7405.20576135,7401.15439771,7401.62621590,0,1577123939999,0,60,0,0,0
1577123940000,7401.26121590,7402.05530680,7394.41439771,7394.41439771,0,1577123999999,0,60,0,0,0
1577124000000,7394.27894317,7394.78212499,7365.59496273,7373.71129227,0,1577124059999,0,60,0,0,0
1577124060000,7372.47038318,7386.05630524,7366.53583772,7386.05630524,0,1577124119999,0,60,0,0,0
1577124120000,7387.46494160,7412.79510227,7387.46494160,7412.69055682,0,1577124179999,0,60,0,0,0
1577124180000,7409.93146591,7426.47636364,7408.61328409,7425.59454545,0,1577124239999,0,60,0,0,0
1577124240000,7427.21227273,7432.31227273,7423.19318182,7431.29818182,0,1577124299999,0,60,0,0,0
1577124300000,7431.26136364,7431.26136364,7420,7423.96136364,0,1577124359999,0,60,0,0,0
1577124360000,7423.63409091,7423.81048870,7418.25500000,7421.66276143,0,1577124419999,0,60,0,0,0
1577124420000,7421.11776143,7426.93867052,7421.11776143,7422.29264706,0,1577124479999,0,60,0,0,0
1577124480000,7422.51673797,7428.52810160,7422.51673797,7428.52810160,0,1577124539999,0,60,0,0,0
1577124540000,7428.97173797,7432.39401069,7425.47401069,7425.89219251,0,1577124599999,0,60,0,0,0
1577124600000,7425.41401069,7425.93946524,7420.95310160,7422.65991978,0,1577124659999,0,60,0,0,0
1577124660000,7422.94219251,7432.65264706,7422.94219251,7432.25264706,0,1577124719999,0,60,0,0,0
1577124720000,7432.14491978,7439.11408761,7430.54628342,7439.04045125,0,1577124779999,0,60,0,0,0
1577124780000,7438.74317852,7442.66318182,7438.74317852,7440.98863636,0,1577124839999,0,60,0,0,0
1577124840000,7439.16909091,7446.24181818,7437.77318182,7440.53727273,0,1577124899999,0,60,0,0,0
1577124900000,7441.45772727,7450.64909091,7441.45772727,7449.57772727,0,1577124959999,0,60,0,0,0
1577124960000,7449.28818182,7450.65885909,7445.57361076,7446.05573272,0,1577125019999,0,60,0,0,0
1577125020000,7446.22755090,7454.87618727,7445.20436909,7454.87618727,0,1577125079999,0,60,0,0,0
1577125080000,7453.57527818,7453.57527818,7446.61527818,7449.75664181,0,1577125139999,0,60,0,0,0
1577125140000,7449.57982363,7449.62209636,7438.62936909,7438.62936909,0,1577125199999,0,60,0,0,0
1577125200000,7438.64436909,7438.64436909,7429.04727273,7429.04727273,0,1577125259999,0,60,0,0,0
1577125260000,7428.82090909,7433.64909091,7428.22136364,7433.44772727,0,1577125319999,0,60,0,0,0
1577125320000,7433.48681818,7434.81727273,7430.62954545,7430.88090909,0,1577125379999,0,60,0,0,0
1577125380000,7430.81136364,7434.67409091,7430.30681818,7434.56954545,0,1577125439999,0,60,0,0,0
1577125440000,7434.11590909,7443.07909091,7433.70772727,7441.68290522,0,1577125499999,0,60,0,0,0
1577125500000,7442.21563249,7443.21627715,7439.39818181,7442.68900443,0,1577125559999,0,60,0,0,0
1577125560000,7443.24127715,7444.00082261,7435.49239020,7436.43693565,0,1577125619999,0,60,0,0,0
1577125620000,7437.21375383,7437.23784474,7430.92966292,7432.42511747,0,1577125679999,0,60,0,0,0
1577125680000,7432.42648111,7432.60375383,7430.13420838,7432.37693565,0,1577125739999,0,60,0,0,0
1577125740000,7431.92420838,7435.69335977,7431.53784474,7434.46063249,0,1577125799999,0,60,0,0,0
